created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2021-01-01 00:00:00 UTC,26,46.58,62.68,34378,-68,35,50.4,42.44
2021-01-01 00:10:00 UTC,26.22,46.64,63.19,34388,-68.8,34.8,50.4,42.47
2021-01-01 00:20:00 UTC,25.99,47.13,64.67,34398,-69.8,35,50.2,42.79
2021-01-01 00:30:00 UTC,27.31,48.9,66.77,34408,-67.6,35,50.4,43.8
2021-01-01 00:40:00 UTC,31.43,55.26,73.84,34418,-65.4,34.6,50.2,47.38
2021-01-01 00:50:00 UTC,35.09,60.23,78.32,34428,-65.4,34,51,50.18
2021-01-01 01:00:00 UTC,30.16,52.12,68.37,34438,-65.2,34,51.8,45.79
2021-01-01 01:10:00 UTC,29,49.55,65.27,34448,-66,33,52.6,44.53
2021-01-01 01:20:00 UTC,27.66,47.51,62.63,34458,-65.6,33,53,43.23
2021-01-01 01:30:00 UTC,28,47.42,64.51,34468,-65.8,33.4,53,43.14
2021-01-01 01:40:00 UTC,41.07,73.78,96.65,34478,-66.2,33.6,53,58.74
2021-01-01 01:50:00 UTC,28.85,48.62,64.62,34488,-67.4,34,53,43.72
2021-01-01 02:00:00 UTC,32.1,54.26,72.09,34498,-66.4,33.8,53,47.18
2021-01-01 02:10:00 UTC,42.63,72.14,93.89,34508,-65.2,33,53,56.23
2021-01-01 02:20:00 UTC,39.59,66.81,87.02,34518,-67,32.8,53.6,53.65
2021-01-01 02:30:00 UTC,39.81,67.92,87.91,34528,-68.4,32.4,54.2,54.52
2021-01-01 02:40:00 UTC,40.09,68.62,89.91,34538,-66.8,32.4,54.6,54.6
2021-01-01 02:50:00 UTC,41.37,70.35,91.36,34548,-65.2,32,55,55.31
2021-01-01 03:00:00 UTC,38.13,65.75,84.88,34558,-66.6,32,55.6,53.6
2021-01-01 03:10:00 UTC,37.69,66.38,85.85,34568,-67.8,32,56,53.66
2021-01-01 03:20:00 UTC,39.68,67.76,89.13,34578,-68.2,32.2,56,54.19
2021-01-01 03:30:00 UTC,42.03,71.51,92.45,34588,-67.2,33,56.4,55.9
2021-01-01 03:40:00 UTC,37.86,66.75,88.65,34598,-68.4,33,56,53.65
2021-01-01 03:50:00 UTC,40.17,69.86,91.66,34608,-68.4,33.8,56,54.97
2021-01-01 04:00:00 UTC,37.4,66.32,85.58,34618,-68.2,34,54.8,53.3
2021-01-01 04:10:00 UTC,35.05,61.23,79.67,34628,-67.6,34,55,50.8
2021-01-01 04:20:00 UTC,56.15,96.12,121.5,34638,-68.8,34.2,55,69.9
2021-01-01 04:30:00 UTC,41.53,72.48,92.42,34648,-69,35,54.4,55.53
2021-01-01 04:40:00 UTC,32.06,56.7,75.7,34658,-68.4,34.8,54,48.34
2021-01-01 04:50:00 UTC,26.62,47.22,62.97,34668,-68.2,34.2,54.4,42.71
2021-01-01 05:00:00 UTC,20.47,36.26,49.97,34678,-68.4,33.4,56.4,35.74
2021-01-01 05:10:00 UTC,22.48,38.66,53.8,34688,-68.2,33,58,37.6
2021-01-01 05:20:00 UTC,21.33,36.48,49.81,34698,-68.4,33,58,36.05
2021-01-01 05:30:00 UTC,22.17,38.73,52.92,34708,-69,33.2,58,37.8
2021-01-01 05:40:00 UTC,21.77,37.63,50.6,34718,-66.4,34,56.8,36.81
2021-01-01 05:50:00 UTC,23.3,40.31,54.84,34728,-66.4,34,56.4,38.84
2021-01-01 06:00:00 UTC,24.33,41.95,56.9,34738,-66.8,34,57,39.79
2021-01-01 06:10:00 UTC,23.75,41.37,56.34,34748,-65.6,33.8,57,39.49
2021-01-01 06:20:00 UTC,24.53,42.12,58.03,34758,-66,33.2,57.6,40.08
2021-01-01 06:30:00 UTC,25.37,43.36,58.98,34768,-66.8,33.4,58.2,40.68
2021-01-01 06:40:00 UTC,22.72,40.73,55.56,34778,-67.2,34,58.6,39.02
2021-01-01 06:50:00 UTC,22.81,39.07,52.41,34788,-67.6,33.8,58.6,37.93
2021-01-01 07:00:00 UTC,22.62,40.41,54.33,34798,-67.6,33.8,59,38.84
