State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
1,73,23,88101,1,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,56,46,N,56,122,0,12,0,0,Certification not required,0,9.751786,5.280737,27.4,6/14/2022 0:00,24.6,3/4/2022 0:00,21,6/22/2022 0:00,19.9,5/11/2022 0:00,,,,,27.4,24.6,21,16.7,11.5,9.2,3.7,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",9/26/2022
1,73,1005,88101,1,33.331111,-87.003611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,30,49,N,30,61,0,0,0,0,Certification not required,0,8.44,3.388581,17.2,6/22/2022 0:00,15.3,5/11/2022 0:00,14,2/16/2022 0:00,13.2,2/10/2022 0:00,,,,,17.2,17.2,15.3,14,9.7,8,4.7,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",9/26/2022
1,73,1010,88101,1,33.545278,-86.549167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,15,25,N,15,61,0,0,0,0,Certification not required,0,7.18,3.256027,14.1,2/16/2022 0:00,11.2,2/10/2022 0:00,10.8,1/23/2022 0:00,9,3/30/2022 0:00,,,,,14.1,14.1,14.1,11.2,9,7,3.5,Leeds, 201 ASHVILLE ROAD,Alabama,Jefferson,Leeds,"Birmingham-Hoover, AL",6/30/2022
1,73,2003,88101,1,33.499722,-86.924167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,60,49,N,60,122,0,0,0,0,Certification not required,0,8.035,3.688131,16.1,2/1/2022 0:00,16.1,6/22/2022 0:00,15.4,2/10/2022 0:00,15.2,6/13/2022 0:00,,,,,16.1,16.1,15.4,14.6,9.7,8.1,3.7,Wylam,1242 JERSEY ST WYLAM AL,Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",9/26/2022
1,73,2059,88101,1,33.521427,-86.844112,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,53,48,N,29,61,0,16,0,0,Certification not required,0,9.598113,4.922456,26.8,6/14/2022 0:00,19.9,5/11/2022 0:00,19.8,6/22/2022 0:00,19.7,3/3/2022 0:00,,,,,26.8,26.8,19.9,19.8,14,11.6,8.8,Arkadelphia/Near Road,"1110 5th Street West Birmingham, AL 35204",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",9/26/2022
1,89,14,88101,1,34.68547,-86.58816,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,59,48,N,59,122,0,1,0,0,Certification not required,0,7.259322,3.461518,15.6,5/11/2022 0:00,14.5,6/22/2022 0:00,13.4,4/29/2022 0:00,13.4,6/13/2022 0:00,,,,,15.6,14.5,13.4,13.3,9.3,7,3.2,HUNTSVILLE OLD AIRPORT,3720 Russell Brown Dr SW,Alabama,Madison,Huntsville,"Huntsville, AL",9/29/2022
2,20,18,88101,2,61.205861,-149.824602,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,21,34,N,21,61,0,3,0,0,Certification not required,0,4.557143,2.768677,14,6/25/2022 0:00,7.3,6/28/2022 0:00,6.9,4/11/2022 0:00,6.7,4/17/2022 0:00,,,,,14,14,7.3,6.9,6.3,4,2.4,GARDEN/TRINITY CHRISTIAN CHURCH,3000 EAST 16TH AVENUE,Alaska,Anchorage ,Anchorage,"Anchorage, AK",9/6/2022
2,90,34,88101,1,64.84569,-147.727413,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,163,45,N,163,365,0,18,5,5,Certification not required,0,12.354601,23.291784,216.8,6/28/2022 0:00,110.1,6/27/2022 0:00,103,6/25/2022 0:00,94.5,6/30/2022 0:00,,,,,110.1,94.5,37.3,27,13.1,5,1.8,NCORE,809 Pioneer Road,Alaska,Fairbanks North Star ,Fairbanks,"Fairbanks, AK",9/15/2022
2,90,35,88101,1,64.762641,-147.310279,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,148,41,N,148,365,0,33,4,4,Certification not required,0,11.812162,19.381803,174.8,6/28/2022 0:00,84.2,6/27/2022 0:00,75.5,6/30/2022 0:00,68.8,2/1/2022 0:00,,,,,84.2,75.5,44.2,25,12.9,5.6,2.1,North Pole Fire Station #3,"3288 Hurst Road, North Pole, Alaska 99705",Alaska,Fairbanks North Star ,,"Fairbanks, AK",9/15/2022
2,110,4,88101,2,58.388497,-134.567237,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,25,39,N,24,61,0,10,0,0,Certification not required,0,3.884,3.591388,19.6,2/10/2022 0:00,6.2,1/15/2022 0:00,5.6,1/26/2022 0:00,5.2,1/20/2022 0:00,,,,,19.6,19.6,6.2,5.6,4.6,3.3,1.6,Floyd Dryden Middle School,3800 MENDENHALL LOOP ROAD,Alaska,Juneau ,Juneau,"Juneau, AK",9/6/2022
